title,synopsis,type_,episodes,rating
Lady Love,"Michelle is passionate about ballet but belongs to a poor family that can not afford the Academy of Dance. However, a prima ballerina who takes a liking to Michelle decides to help: Oriella Siorella....",Manga,8,-
Raburin Ice Cream,,Manga,1,-
Rachel Dial,"The time is a fantastical near-future. The place: the dangerous industrial city of Chester Valley. Rachel, a willful daughter of a zaibatsu family asks a pair of androids to help her... (Source: MU)",Manga,2,-
Rachel Sousou,,Manga,1,-
Rack: 13-gakari no Zankoku Kikai,"High school student Shou Shintou, son of the Superintendent General of the Metropolitan Police, is known for his extraordinary deductive skills and the ability to solve even the most difficult cases....",Manga,13,-
Rad & Rinpu,"When Rad is child he can't control his power as result he killed his Older brother Rinpu. After that Rad Decide to tech many people same as him, How to control own Power. He Created a school for it. H...",One-shot,-,6.68
Radiata Stories: The Epic of Jack,"In the center of the world lies the human kingdom of Radiata. People throughout the land sing of its glory. Sharing the world with the humans are the fairy creatures. Dwarves, elves, goblins, and othe...",Manga,5,7.22
Radiata Stories: The Song of Ridley,"In the center of the land lies the human kingdom of Radiata and surrounding it are the lands of fairies, elves and goblins. The relationships between the two species were never good but things got wor...",Manga,5,-
Radiation House,"Iori Igarashi is a talented radiology technician who has patiently waited for his chance to work with An Amakasu, his childhood friend. After being hired at her family's hospital, he is determined to...",Manga,-,7.62
Radical Blood Monster,"Sagara Yuichi is an aspiring writer who was caught in a convenience store robbery. Despite having the chance to escape, he lingered to gain writers experience, and ended up getting stabbed. During his...",Manga,2,7.42
Radical Elements,,Light Novel,3,-
Lady M. wo Sagase!,1. Lady M. wo Sagase! 2. Natsu no Niwa 3. Sugar Days,Manga,1,-
Lady Marianne Series,,Light Novel,2,-
Lady Masquerade,"[From MangaArt]: The distorted memory becomes a masquerade. Everyone hides behind a mask and performs the wildest acts with no consequence. But, life is not a masquerade. The main character is a girl...",Manga,2,6.79
Lady Midnight,"Nishina is a nurse by day, and the crime fighter ""Lady Midnight"" at night!",Manga,1,-
Lady Mitsuko,"Mitsuko was born with a star-shaped birthmark in her palm, signifying that she will climb to greatness - but as a middle-class Japanese girl in the late 1800s, the best thing she can hope for is a res...",Manga,1,6.86
Radical GoGo Baby!,1. Hitou! Waninoyu Sentou 2. Ama Raba 3. Recycle Girl 4. GoGo Girl! 5. Kusuri no Trouble? (Medicine Trouble?) 6. Keitai Bitch (Cell Phone Bitch) 7. Tour de Romance 8. She Sea Summer 9. Teach Me! 10. T...,Manga,1,6.85
Radical☆Princess,,Light Novel,3,-
Radio de Go!,,Manga,3,-
Radio Heads,"At the Ozu Technical High School, students ranging from first years in their teens to fifth years already in their 20’s are bred to become engineers. Togawa Sumiji is the president of the Robotics Div...",Manga,-,-
Raffaello: Sono Ai,"Born at the end of the 15th century in Italy during the Renaissance, Raffaello is regarded as the greatest painter of his period. Starting from the city of Urbino, he lived in Florence, met with Miche...",Manga,1,-
Rafnas,,Manga,2,-
Rafu,,One-shot,-,-
Rag Lag,,Doujinshi,1,-
Ragna Crimson,,Manga,-,7.56
Ragna Crown,,Light Novel,3,-
Ragnarock City,"Reichieru has just moved to Ragnarock City, where she is attending the St. Freyr School. But, will she be able to cover up her special secret while adapting to the fashion of the modern city?",Manga,1,6.18
Ragnarok,"The winds of fate are blowing through the realm of Midgard. Ragnarok, the prophesized fall of the gods, is at hand, and the age of Man is set to begin. But the ancient gods are not about to resign the...",Manhwa,10,7.10
Ragnarok,"In the late-medieval land of Barnard, between the mountains and sea, the peaceful lifestyle of the people has been shattered by fear. Monsters known as the Dark Ones roam the land, killing indiscrimin...",Manga,3,6.83
Ragnarok Guy,"In the distant future, there exists a man named Ragnarok Guy, aka the Godkiller, the sole survivor of an elite band of superhuman soldiers. But now, he lives his life as a fugitive, pursued by a massi...",Manga,7,-
Ragouden,"Tokugawa, the ruler of Japan wants to keep Japan isolated from the rest of the world, however there are those who oppose this decision and plot to usurp Tokugawa's authority. It's the job of one of To...",Manga,2,-
Ragtonia,"""Falna... as long as a Ragtonia lives, the Necromancer will feed off of their life force. He took too much from you. He killed you. But I can give your life back to you, if you'll choose to start livi...",Manga,4,7.40
RahXephon,"A mysterious orb envelops the city of Tokyo. All forms of communication are severed, leaving the inhabitants of the newly dubbed ""Tokyo Jupiter"" ignorant to their fate. Along with the United Nations,...",Manga,3,6.46
RahXephon,"More action and giant robots await in the Rahxephon novel. Relive events from the anime plus untold stories from a 1st person perspective, seen through the eyes of the various characters in the Raxeph...",Light Novel,5,-
S,"Shiba is a detective in the fifth anti-organized crime division of the Tokyo Metropolitan Police, a.k.a. ""Anti-Gang 5"" specializing in handgun seizures. Shiba's secret weapon is ""S"" (""spy""), an inform...",Light Novel,4,7.87
S,,Manga,3,-
S Ane,,One-shot,-,-
