title,synopsis,type_,episodes,rating
J no Subete,"The story of J, a beautiful teenager with a twisted past and the face of Marilyn Monroe.",Manga,3,8.15
J Wota Danshi☆Asahina-kun,"Regular high school girl Aoba Wakana's crush is the good looking, tall, athletic, and clever Asahina-kun. But what that guy loves more than anything else are Japan's national male idols, ""Jokers!"" He'...",Manga,3,-
J-ct Haramitai-kei Joshi,,Doujinshi,1,-
J-Dream,"Akaboshi Taka is a 16-year-old boy who loves to play soccer. After being abandoned by his father, he tries to find a job to support himself. His dream is to become a professional soccer player and he...",Manga,14,-
J-Dream: Hishouhen,,Manga,10,-
J-Dream: Kanzen Nenshouhen,Taka Akaboshi leads team Japan through France World Cup Asia Qualifiers.,Manga,8,-
J. Boy,"A man with no memory and who might be the ""J.Boy,"" a robot made to look like the current godfather of a powerful mafia, was put in jail in Taiwan. Here, he will encounter a man who wants him to play b...",Manga,3,-
J. Boy: Second Season,Sequel to J. Boy.,Manga,3,-
J1,,Manga,2,-
JA - Joshi ni Yoru Agriculture,"Her dad remarried, and has moved Hinageshi from the city to the country side village of Ogawara, where agriculture is very abundant. As a new member of the Nozawa family, she learns the ins and outs o...",Manga,8,-
Ja Ja Ja Jan!,,Manga,2,-
Ja Ja Uma Grooming UP!,"Kuze Shunpei, a high school student, is on spring break going to Hokkaidou when he loses his wallet. Stranded in the mountains with no money and his motorcycle having run out of gas, he passes out in...",Manga,26,-
Ja-Dou,"Ashray is the son of the Flame Emperor, small for his age, and cursed with a fiery temper. He also has to hide the fact that he has a horn, a trait usually associated with demons. His father keeps app...",Manga,6,7.38
Ja-Dou: Tenmou Yatan,"Teio is the celestial son of King Soryuu (the Emperor of Thunder), whose mission is to hunt and kill demons in the human world. He works for and respects his father's will ... until he meets the hands...",Manga,1,7.28
"Jaa, Kimi no Kawari ni Korosou ka?",,Manga,-,-
Jaaku na Maou ga Densetsu no Onna Yuusha ni Tensei shita you desu,,Light Novel,1,-
Jaaku no Jack,"Jack was a cross-bred of demon and human. In order to get a place in the hell he hd to commit certain things, including the trading of souls and goods taking place in his own shop.",Manga,4,-
Jabberwocky,"Aptly described as ""Da Vinci Code meets Jurassic Park,"" this story follows our go-getter protagonist, Lily, as she deals with spies, intrigue, action and conspiracy in a film noir-esque setting dotted...",Manga,7,7.12
Jabberwocky 1914,"Sequel to Jabberwocky, taking place in the 20th century.",Manga,-,-
Jacarandá,"The shoot of an exotic tree appears in a Tokyo street. The popular affection turns into astonishment, then horror as the Jacaranda grows to colossal proportions, burning the capital to ashes in the co...",Manga,1,6.18
Jack Frost,"It's Noh-A's first day at Amityville High School, and her reception is chilly to say the least. Brutal might be a better description! Decapitated but not dead (or is she??), Noh-A quickly realizes tha...",Manhwa,11,7.06
Jack In The Box,Arata gives his girlfriend 'skin to skin loving' when his girlfriends little twin brothers wanna know what 'skin to skin loving' means... There's only one way for Arata to show Kagari and Natsumi what...,One-shot,-,6.40
Jackals,"Cicero City, a city infested with immigrants where people of all races scramble to find work and shelter. Infested with destruction and slaughter, it's a chaotic society. Living on the outside of soci...",Manga,7,7.40
Jackass!,"Keisuke Hara, a blunt high schooler with a heart of gold, and good-looking Masayuki Shinoda are close friends, fondly dubbed ""Shinohara"" by their classmates. Juggling many responsibilities at school a...",Manga,1,8.03
Jacket Nuidara Saigo made,"1. Jacket Nuidara Saigo made 2. Boku wa Kimi dake no Hero 3. Boku no Himitsu ni Furenaide 4. Kiss, Shite Ii desu ka...? 5. Konya wa Kaesanai ",Manga,1,6.85
Jackpot ni Hohoende,,Manga,1,-
Jade,"Frants came by a mechanical doll known as ""GEM"" as a memento of his lost grandfather. It is a beautiful work of art which can sing and dance, however, it never moves as if it's asleep. He wonders how...",Manga,1,6.84
Jadou,The charismatic owner of the super popular ramen chain Tenshukaku passes away suddenly in an accident! His wife is left to try and hold the business together with the four branch managers of the chain...,Manga,4,-
Jadou Sniper,,Manga,2,-
Jagaaaaaan,"Shintarou Jagasaki, who is a neighborhood police officer, lives with his girlfriend while working a job that is killing him slowly with annoyance. It looks like he will end up marrying soon and live a...",Manga,-,7.43
Jagan Tantei Necro-san no Jikenbo,,Manga,1,-
Jagan wa Gachirin ni Tobu,"The mountain gods have sent down a punishment to the people of Japan. An owl by the name of Minerva. All who fall under this owl's gaze die, their eyes spurting out blood. One man stood up to the owl,...",Manga,1,6.87
Jagua,"As the protagonist is returning home, she runs into a man who was in a car crash. As he is dying, he requests her to throw away a certain package into the sea. (Source: Illuminati-Manga)",One-shot,-,-
Jahy-sama wa Kujikenai!,"Once respected as the Demon Realm's second greatest authority, the Demon King's aide, Jahy, ruled her subjects with fear. But when a magical girl attacks and destroys a mystic gem containing massive p...",Manga,-,7.50
Jail Bird,3. Blue Cheer 4. Betrayal Game 5. Futaba-kun and Futaba-kun,Manga,1,6.63
Jailbait,,Doujinshi,1,-
Jain no Onihime: Mayoiga Kitan,,Light Novel,1,-
Jajauma to Hana,"""I definitely don't want to live my life flirting and fawning over men!"" The apprentice in training Kikuha, is against her job and thus constantly facing the consequences as a result. That was until s...",One-shot,-,-
Jajauma♥Oppai,What’s a gorgeous bartender to do when a group of cute and clueless virgins sticks around ‘til after last call? And how can a frustrated professor break through the block that keeps her from enjoying...,Manga,1,-
Jaken-san wa Sugu Bureru,"The story is set in a fantasy world of swords and magic, but this isn't a typical fantasy world since the technological progress have advanced so much that smartphones are everywhere!! Everyone lives...",Manga,-,6.93
Jaki Meshi,"Yuuki has a problem: evil spirits are attracted to him. But one day, he meets a kid that can devour those evil spirits for him. Yuuki's not sure whether that's a good thing or a bad thing... (Source:...",One-shot,-,-
Jaki no Haha,,Doujinshi,1,-
Jaku-Chara Tomozaki-kun,"For Fumiya Tomozaki, one of the best gamers in Japan, the ""game of life"" is the worst game in existence. Despite the fact that Tomozaki is the number one player in the video game Attack Families, he i...",Light Novel,-,7.71
Jaku-Chara Tomozaki-kun Comic,"""Life is a shitty game. No matter how hard you try, you cannot overcome the characteristics given to you at birth."" To Fumiya Tomozaki, who feels he is trash-tier and can never compete with the god-ti...",Manga,-,6.88
Jakuniku Kyoushoku: Modae Naku Joshikousei,,Light Novel,1,-
Jakushou Soshage-bu no Bokura ga Kamige wo Tsukuru made,"Past trauma leads Kai Shiraseki to abandon the world of social game development, so he transfers to Maikun High School to start a new life. But on his first day he meets Nanaka Aoi, the president of a...",Light Novel,-,-
"Jakuzure, Kousaten de",The story starts with a boy being secretly in love with someone.,Manga,1,-
Jam!!,"Inugami Mina (an ex-CIA agent, and the ""head"" of the duo) and Mairin Ran (the youngest daughter of a family of mobsters, who decided to work ""the other side"") are two punishers. Two girls tucked into...",Manga,1,-
O to K no Aida,"Somewhere in some place... Akihabara, which is located between Okachimachi and Kanda, became favorite place for teens to spend their time or even take a part-time job. This is a compilation of a stori...",Manga,1,-
O*G*A Onigokko Royal,"The super unimposing sakura trees I saw when I entered the school was...""Oni-gokko""!? In this game of tag where male high school students wager their youth, the curtain opens on their story. (Source:...",Manga,2,-
O-bo-re-ta-i,"Volume 1 1. Hitsuji no You ni Ookami no You ni (Like a Lamb, Like a Wolf) 2. O-bo-re-ta-i (I Want to Lose Myself) 3. Oshioki shite ne (Please Punish Me) Volume 2 1-3. Anata to Senya Ichiya 1-3 (1001 N...",Manga,6,7.09
O-Guts!,"Hatori Ejima is a bishounen and idol of his school. And he has a weakness: an allergy to girls. To cure him, his sister, Saiko makes him join her idol fans club. Saiko is the leader of Miya Fans Club...",Manga,2,-
O-ri-ga-mi,"Nagoyakawa Suzuran, she is very unlucky to find herself have to work as a housemaid at Iori Evil Corp to pay her debt to them. She went through all kind of troubles, her body used as a rat experiment,...",Light Novel,7,-
O.B.,"Sequel to Doukyuusei and Sotsugyousei, continuing the relationship between two boys, Kusakabe Hikaru and Sajou Rihito, after high school and into college.",Manga,2,7.93
O.Shi.Go.To.,This slice-of-life gag manga follows the exploits of Yomoyama Hanako as she joins the Planning Department of the Greater Japan Trading Company. Yomoyama soon learns to manage the madness of life in a...,Manga,2,-
O/A,"Horiuchi Yutaka-san is a popular idol, who isn't as glamorous and happy as her fans may think. Naturally, her next steps include a radio show, but one she isn't all too keen on doing. Although she tri...",Manga,7,7.20
Oaiko,,One-shot,-,-
Oaite to Tsunagarimashita,,Light Novel,1,-
Oaji wa Dou desu ka?,Composed of several stories : 1) How Does it Taste? (Oaji wa Dou Desu ka); Mikura says he loves how transfer student Araki smells. Will Araki give him a taste at the culture festival? 2) And Then What...,Manga,1,6.80
Oasis,1. Oomisoka 2-6. Demodori Mama 7-10. Kobushi,Manga,1,-
Oasis Project,"Yagi Naoyuki has always been able to get any woman he wanted, and to him, that has always been a problem. It's come to the point where they would take drastic measures if he rejected them. Fed up with...",Manga,1,6.93
Oasobi mo Hodohodo ni,1. Oasobi mo Hodohodo ni (The Capricious Love is Moderate) 2. Interest 3. Boku wa Kimi no Pavlov no Inu 4. Kaori Kaoru 5. Kimi to nara 6. Oasobi no Ato wa,Manga,1,-
Oath of Allegiance,"""Beast men"" and humans have always been locked in conflict. Although treaties exist in an attempt to halt their battles, the prejudice between them can never be eradicated. Yakuza Haruomi Tengeji is a...",One-shot,-,-
Oath to Love and Passion,"When love comes to town, the lives of four socially maladapted teens are turned upside down when rotating attractions, comedic misunderstandings, and general chaos forces them to reconsider everything...",Manhwa,5,-
Oazuke 1DK,,Manga,1,-
Oazuke Lip,,One-shot,-,-
Oazuke no Scenario,,Manga,1,-
Obaachan no Poi,Dialogueless one-shot about a girl in a goldfish scooping competition.,One-shot,-,-
Obaachan Shoujo Hinata-chan,"Worldly knowledge and artistic refinement! Hinata-chan is on a completely different level to your average toddler, but she has a secret. She’s the reincarnation of an 88 year old grandma, with her mem...",Manga,-,7.38
Obaachan to Game,"Shouko is a girl growing up in 90's Japan who just wants to stay in and play games on the PlayStation console. However, she is often visited by her grandma, who tries to make her do more productive th...",Manga,-,-
Obaachan wa Idol,"Yamada Momoka is your average 16-year-old girl. Her family consists of herself, her dad who works at a TV station, and her mom. Apparently she also has a strict prune of a grandma, but who doesn't? Ex...",Manga,4,6.55
Obaka na Ω wo Haramasetai.,"Souta is a brilliant and handsome but disingenuous alpha and is in love with Haruto, his childhood friend. He doesn't want anyone else to have him and wants to start a family with him one day. He lies...",Manga,1,-
"Obaka-chan, Koigatariki","Since childhood, Neiro has been known for being good at fighting, making people fear her and giving her the title of Kansai's strongest woman. Wanting to find romance, she decides to transfer to a hig...",Manga,7,7.59
Obake Life,"A girl who can see spirits opened up a manga and read ""Those who read to this point in my manga will die without fail on the same day."" Terrified, she tries to break her curse, with a jumpy spirit who...",One-shot,-,6.54
Obake no Muura-chan,,Manga,1,-
Obake no Oyatsu,1. Ittai Naze! Kouchou ga Watashi wo Osou!! 2. Tokyo Twilight Zone 3. Giga Knife 4. Enkaku 5. Misshitsu Obake 6. Yamero! Saru wo Ijimeru na! 7-8. Piko Piko Shounen 9. Beautiful 10. Rei ni Aitakute,Manga,1,-
Obake no Q-tarou,"A Japanese manga about an obake, Qtarō (Sometimes also spelled as Q-tarō) who lives with the Ōhara family. Qtarō, also known as Q-chan or Oba-Q, is a mischief-maker who likes to fly around scaring peo...",Manga,6,-
Obasan ne Wakai Ko no Ochi○chin ni Nando mo Ikasarechatta,,Doujinshi,1,-
Obatalian,"The adventures of an ""assertive"" woman.",Manga,13,-
Obentouuri wa Seijo-sama!: Isekai Musume no Attaka Recipe,"Suddenly summoned to another world, former office lady Mahiru Fukuyose becomes a lunchlady in order to cover her living expenses, as well as gather information. Then one day, she gets her hopes up whe...",Manga,-,-
Obito no Hime to Kubinashi Kishi,"A sarcastic but fearful ""headless knight,"" a shut-in but strong-willed princess, and a crown with a mysterious power. The story opens with financial scandal and a mysterious stranger... (Source: MU)",Manga,1,6.63
Obito no Hime to Kubinashi Kishi,"A sarcastic but fearful ""headless knight,"" a shut-in but strong-willed princess, and a crown with a mysterious power. The story opens with financial scandal and a mysterious stranger... (Source: MU)",Light Novel,-,-
Object of Desire,"A collection of oneshots: Object of Desire Kako wishes that boys will be honest with her and just admit that they only want sex. To her surprise, one does. Lovey-Dovey A girl who loves text messages f...",Manga,1,6.80
Obocchama ni wa Wakarumai,"Jun's family used to be wealthy, but after his father's death their company went bankrupt and his mother was hospitalized due to too much stress. Now, Jun lives at the home of their former gardener an...",Manga,1,6.75
Obocchama no Otanoshimi,"“Young Master, please stop teasing me!” “How am I supposed to do such a thing to you, Master?!” After my Mom gets into an accident, I had to go in her stead to be a maid in the noble Takaido household...",Manga,1,6.75
Oboetate,1. Yoshino Hime: Kyoushi-hen (Princess Yoshino: Teacher Chapter) 2-3. Nanno Hentetsu mo Nai Futari (A Totally Normal Couple) 4. Futarime no Hito (The Second Girl) 5. Hanamura Keikaku (Hanamura's Schem...,Manga,1,6.69
"Oboetenai kedo, Kimi ga Suki",,Light Novel,2,-
Oboreru Hanabi,,Manga,2,-
Oboreru Hitomi,1-2. Oboreru Hitomi 3. Saitei Kareshi 4-6. Hearts 7. Telephone,Manga,1,7.00
Oboreru hodo Hana wo Ageru: Seijin wa Hanayome wo Ubau,,Light Novel,1,-
Oboreru hodo Itoshikute,,Manga,1,-
Oboreru Kemono no Koibito,"Eight volume in the Kemono series. Kazuki, the young master of Toudou Group undergoes training on becoming the heir of the company per his father's instruction, which finally drives his tutor for 12 y...",Manga,1,7.27
Oboreru Kemono to Amai Wana,,Manga,-,-
Oboreru Knife,"Oboreru Knife tells the story of Natsume, a sixth-grade girl who has to move from Tokyo to a decidedly different town in the countryside. Upon meeting a boy named Kouichirou there, ""something"" stirs i...",Manga,17,8.11
Oboreru Toiki ni Amai Kiss,"Included one-shots: Volume 1: Irozuku, Oboreru. Volume 2: Q&A: Dakara Suki to Sasayaite Volume 3: Furachi ni Haru ga Kogarete Volume 4: Densen Blue Rose",Manga,5,-
Oboreru Triangle,"Nao, a university student who lives with his childhood otaku friend, Subaru. Upon receiving rejections of hanging out with his female friends, Nao decided to pick up girls instead. Charmed by her smil...",Manga,1,6.56
Oboreru x Kajitsu,,One-shot,-,-
Oborozukiyo ni Ginrou to Naku,"A boy gets picked up and raised by a man, but there may be more to this man than meets the eye. (Source: xiaojiangworld)",Doujinshi,1,-
M,1. M 2. Kioku no Meikyuu 3. A Virgin,Manga,1,5.98
G,"G takes place at these points we call boundaries. Boundaries between times, dimensions, destinies, life and death, …It tells the story of young Tomak through his initiatic journey. The Death Grass Spi...",Manga,1,6.67
M,,One-shot,-,-
M & A,"A continuation of 3 stories (Shoujo Chuu! (Virgin Addict), Hokeni no Naisho (The Infirmary Teacher's Secret) & Renren Houkago Hokenshitsu (Lovey Dovey Afterschool Infirmary)) that appeared in the Emua...",One-shot,-,-
M Collection,This tongue-in-cheek semi-autobiography follows the absurdly gruesome adventures of a lonely boy and his singularly crazed family. His escape from the madness that surrounds him is his collection of p...,Manga,2,-
M Haha Musume Choukyou Nikki,,Manga,1,6.51
M Kyoushi: Mochizuki-sensei no Himitsu,"A story about a female teacher engaging in improper behavior with both students and other teachers at the school. Included one-shots: Adult Hoikuen, Namida no★Owakare Nurse",Manga,1,6.75
M nano? Baka nano? Hentai nano?,"When Aizawa was little he used to enjoy being a bully and picking on Hidaka. Due to the bullying, Hidaka moved away. And once Aizawa went to high school he made a vow to himself to never bully anyone....",Manga,1,6.85
M no Folklore,,Light Novel,3,-
M no Retsujou,"Shitara Megumu had been in love with his neighbour, Mitsusawa Ryuuji, for a long time. Afraid of being detested by Ryuuji, Megumu turned his desires to other men. When Ryuuji caught Megumu half-naked...",Manga,1,7.08
M no Retsujou dj - Yukata de Retsujou,Ryuuji and Megumi go to a festival together wearing Yukata when things heat up.,Doujinshi,1,-
M no Yoromeki,"Narumi, the most popular teacher in a high school, teaches chemistry. All girl students are attracted to him, with an aura of prince. But there is a girl whom he has a lot of trouble in dealing with....",Manga,1,-
G,"From a young age, Mao Manaka has had a fascination with race cars. One day, fate brings him together with Yoshiki Tsuji, the undisputed champion of formula racing in Japan. It was then that Mao decide...",Manga,5,-
G Gai Kitan,"A mysterious ""man"" solves mysteries involving the supernatural.",Manga,1,-
G Joshi!,"""If girls didn't masturbate, that place would smell."" Two high school girls were shocked at the article which was written in a magazine. They have never done it, however, they are going to try. This s...",Manga,3,6.60
G Senjou Heaven's Door,"Machizo Sakai's father is a successful mangaka (manga artist). Machizo hates that fact because he feels he's living under his father's shadow. One day he meets a boy in his class, Tetsuo, who enjoys d...",Manga,3,7.16
G'Day,"Having lost all contact with his sister, Shiyoung, a worried Shion sets out to see what is wrong by arriving in Australia, where his sister was staying. While staying at the share house his sister was...",Manhwa,4,-
G-Cup,,Manga,1,-
G-Cup & H-Cup kara no Milk wa Ikaga desu ka?,,Light Novel,1,-
G-Cup Onna Kyoushi Reiko,,Manga,1,-
G-Maru Edition,"Kaburagi Aruto, an average high school student, wishes to become a Shoujo manga artist. One day, she is visited by something from the future. He tells her that she now has to become an amazing ero-man...",Manga,2,6.43
G-Men,"Kadomatsu Shouta has just transferred to Takehana High, a boy's high school that's surrounded by four girls' high schools. It's rumored that students there have a 120% chance of losing their virginity...",Manga,18,-
M Onna Senka,A wonderfully drawn set of short stories involving each female character of the chapters based on a real life famous Japanese idols. (Source: Tadanohito),Manga,1,6.81
M Onna-san wa S Sensei ga Osuki,,Light Novel,1,-
M Otoko Izonshou,1. Tough na Otoko no Aisarekata (The Method of Loving a Tough Man) 2. M Otoko Izonshou (Masochistic Man Dependence) 3. Kadobeya no Onnna (The Woman in the Corner Room) 4. Oba-chan no Oshioki (Aunt's P...,Manga,1,-
M Teacher: Kanojo♂ no Nayamiooki Kyouiku Jijou,,Light Novel,1,-
M to M,,One-shot,-,-
M to N no Shouzou,"Mitsuru is beautiful, graceful and admired by many people, but she has a weird problem—a single, violent movement against her can get her begging sweetly for more! Her nickname M, also stands for maso...",Manga,6,7.37
M x M!: Imouto to Seitokaichou,,Light Novel,1,-
"M, comicer",,Manga,1,-
M-ka Chuuihou!,Yuuri and Yuuna are at it again! Yuuna provokes Yuuri and is eager for his punishment. This is a sequel to Sadist Warning and Book 11 in the Voyeur Report series. [from Liquid Eros],Doujinshi,1,6.32
G-Officer Miyuki,,Light Novel,1,-
G-on Riders,"The story settings takes place on Earth, where alien attacks have turned into everyday sights instead of mere rare phenomenon. All countries around the world have united their efforts to develop effec...",Manga,1,-
G-Rank DK to Dirty Festa,,Light Novel,1,-
G-School,"Soryun isn't like any high schooler; he hails from a shaman family. He's usually discrete with his powers, but he's going to have to reveal them to hunt ghosts and other entities that haunt the school...",Manhwa,9,-
G-sen Rough Sketch,"A 4-koma about students at a technical school geared towards aspiring game creators, following their fun everyday life together, and their concerns about their future careers.",Manga,2,-
G-senjou no Anata to Watashi,"The manga centers on Yaeko Kogure, a woman who resigned from her company due to plans for marriage, only to have her fiancé break up with her on her last day. Confused and angry, she passes by a store...",Manga,4,-
G-senjou no Maou Comic Anthology,"A 147 page anthology based off of Akabei Soft2's popular visual novel, G-senjou no Maou. Published by Ichijinsha under their DNA Media Comics imprint.",Manga,1,7.43
G-Senjou no Maria,"Three students from an all girl's school are selling bibles on the street... But, don't mistake them as servants of God. They are actually, making money for dating expenses. Even though their ways is...",Manga,1,-
G-senjou no Neko,"Riya Narukawa is a high school freshman with a tremendous talent for the violin, and an equally large bag of mental issues. He seems to have a split personality. After injuring his own hand to comprom...",Manga,3,7.54
M-shiki Princess,"Kanako is an unattractive and not-so-capable office lady, until the day her mother passes away and she turns out to be the sole heiress of the old and elite Kinaga house. So suddenly, Kanako has not o...",Manga,4,-
M.A.N.A,"Mana is a beautiful girl with excellent grades. Unfortunately, due to difficult circumstances involving her parents, she works as a private tutor to lessen the burden on her parents as much as she can...",Doujinshi,1,6.89
M.A.X.,"Namu goes to a school where all the elites get idolized by the 'non-elites'. From models to computer geniuses, these students make tons of money on their own! Because the school gates are always crowd...",Manhwa,4,7.18
M.C. Law,“Cause trouble in Shibuya and I’ll hear everything.” Chiryu Mamoru is the former Shibuya Gang King (Crime Boss). Now he’s protecting the streets of Shibuya as the youngest lawyer in history. With an e...,Manga,3,7.22
M.E.M.: Yogosareta Junketsu,"Deep underground, a scientist is transforming females into sex slaves. Some for selling, some for secret projects for his own enjoyment.",Light Novel,1,-
M.M Santa,,Manga,2,-
M3: Sono Kuroki Hagane,"10 years in the past, the city of Tokyo was consumed by an unknown darkness. It started off as a black speck in the sky. As it grew in size, it consumed everything in its path, creating the area known...",Manga,2,-
m7,,Manga,2,-
M: Idol Shimai,,Light Novel,1,-
Ma Curriculum!,"Maya Aku is a demon who has come to do some hands-on practice in the human world. She's living at a boarding house, attending school as a human girl, and keeping her demon nature secret from her close...",Manga,2,-
G.I.D.,"""I've always felt this discomfort with my own body. I wondered why my penis never grew on my body even though I always hanged out with the boys in the class. I was scolded for asking Santa for a penis...",Manga,2,-
G.L.,,Light Novel,3,-
G4P!: 3-nin no Chijo to Goukon 4P,,One-shot,-,-
Ga-ma-n Dekinai♥,"Minato is a clumsy high school girl. When she went to the infirmary to lie down, she found a naked guy, and he kissed her! The guy is Chihiro, a tenth grader who is one year younger than she is. Minat...",Manga,7,6.78
Ga-Rei,"While many of us will probably scream at even the thought of a ghost being near us, freshman Nimura Kensuke just thinks of it as a common everyday thing, seeing as how he has the uncanny ability to se...",Manga,12,7.67
Ga-Rei: Tsuina no Shou,The stage is Kyoto. Takiguchi Tsuina is a girl possessed by a curse that brings misfortune upon all those she falls in love with. Such a girl falls in love at first sight with the newly transfered Mik...,Manga,1,7.12
GA: Geijutsuka Art Design Class,Follow the lives of five senior art students as they learn color theory and technique…and have some cute and colorful life lessons along the way. (Source: Yen Press),Manga,7,7.61
Gaba Kawa,"Rara, a girl from the demon world, arrives on earth with only one goal in mind: To do as many bad things as possible.To draw humans to the darkness. Sounds easy, doesn’t it? It's not as easy as it sou...",Manga,1,6.97
Gabai: Saga no Gabai Baachan,"Gabai Granny is based on the bestseller Saga no Gabai Baachan, which is penned by comedian Shimada Yoshichi as he recounts his childhood memories of growing up under the care of his grandmother. This...",Manga,11,7.92
Ma ga Ochiru Yoru,"Sheliss Elleness Zurbach suddenly appears out of the blue in modern day Tokyo. Destiny has brought her to the human world, destiny in the form of an evil adversary named Gilva. Needing help in trackin...",Light Novel,3,-
Ma ga Ochiru Yoru: Demonic Imitator,,Manga,1,-
Ma no Hiryuu Gundan: Princess Road,,Light Novel,1,-
Ma no Kakera,"Futon After eloping, Madoka and Tomio should have been happy. But shortly afterwards, Tomio refuses to leave his futon. As he burrows in its folds, what sort of unseen horror is he hiding from? Mokuzo...",Manga,1,7.55
Ma no Kougyoku Rosemary Gaiden: Boshi Daraku,,Light Novel,1,-
Ma no Kougyoku Rosemary: Jubaku no Hanayome,,Light Novel,1,-
Ma Series,"Yuuri Shibuya was living a pretty normal life. That changed the day he was dunked into a toilet after an attempt to save a classmate from a gang of bullies. Instead of just getting a good soaking, he'...",Light Novel,-,7.68
Ma Yori mo Kuroku Wagamama ni Mahou Shoujo wa Yume wo Miru,,Light Novel,2,-
Maa wa Kaikai,"Maa wa Kaikai comes from the mind of mangaka Shinonome Maki. The story lasts through eight chapters (volumes in the book) and includes sex, action and martial arts super powers.",Manga,1,-
Gabment,,Manga,4,-
Gabriel DropOut,"The comedy follows Gabriel White, who graduated at the top of the class at angel school and attends a human school on earth in pursuit of knowledge, but then gets engrossed in a web game and decides i...",Manga,-,7.78
Gabriela Senki,,Light Novel,7,-
Gaccha Gacha,"Yuri and Motoko are friends. Yuri has a crush on Yabe, but Yabe's decided the only girl he will ever seriously date is Motoko. But she doesn't want to have anything to do with him. Or is she secretly...",Manga,8,7.21
Gacha ni Yudaneru Isekai Haijin Seikatsu,,Light Novel,-,-
Gacha wo Mawashite Nakama wo Fuyasu: Saikyou no Bishoujo Gundan wo Tsukuriagero,,Light Novel,-,-
Gacha wo Mawashite Nakama wo Fuyasu: Saikyou no Bishoujo Gundan wo Tsukuriagero the Comic,,Manga,-,6.66
Gachagacha,"Part.1: ""Capsule"" Arc (Volumes 1-5) Lately, Kouhei can't get his friend Kurara out of his mind. Even though he has known her since elementary school, all of a sudden, ever since she came back from sum...",Manga,16,7.23
Gachi Koi Heart Change,,Manga,1,-
Gachiiki Chouhatsu Night,1-2. Gachiiki Chouhatsu Night 3. Kachou no Ame-Muchi Jijou 4. Setsubou Punch 5. Baka Anadorunakare!! 6-7. Muboubi♥Amaenboy 8. Katsubou Punch 9. Gachiiki Bakuhatsu Night,Manga,1,7.13
Maa-chan no Nikkichou,"This is a 4-strip cartoon that appeared in a newspaper, featuring the pre-school boy Ma-chan. Cheerful and naughty Ma-chan and his friend Ton-chan are always arguing. This work strongly reflects the s...",Manga,1,6.25
Maasa wa Chotto Tennen dakara Kyou mo Oniichan ni Nagasarete Iroiro Sarechau no desu...><,1. Maasa wa Chotto Tennen dakara Kyou mo Oniichan ni Nagasarete Iroiro Sarechau no desu...>< 2. Maasa wa Chotto Binkan dakara Kyou mo Oniichan Nama Nakadashi de Icchau no desu...>< 3. Maasa wa Chotto...,Doujinshi,3,-
Ma☆ko Hunter: Gokujou Yome Kari Life,"Here in the strange world of Genda and Manne, there exists magic forests with elves, fairies and witches, prairies of the Wild West with cowboys... *ahem* cowgirls and indians, a prosperous medieval k...",Light Novel,1,-
Mabara no Himekishi: Kutsujoku no Jutai,,Light Novel,1,-
Mabataki Dekinai,"1. Kokoro Login 2. Yumemigachi Destroy 3. Kyou, Kimi ni Furaremasu. 4. ""Gal"" no Uchi to Class no ""Jimiko"" 5. Lonely Heart Online 6. Tsunori Tsunoru",Manga,1,-
Mabataki no Aida,"To Hide, who was suffering from loneliness after moving to a new town, Haru, who become his playmate was like a brother. However, as time passed, Hide's feelings towards Haru began to change... The bo...",Manga,2,7.17
Mabataki yori Hayaku!!,"The ""fighting manga"" centers on Himari Kohanai, a 15-year-old student who hates her clumsy and air-headed self. She wants to turn a new leaf in high school, but makes a mess of it. Still, Himari will...",Manga,-,-
Mabayui Hikari,,Manga,-,-
Mabeop Cheonjamun,"An educational series helping children learn hanja, which are Chinese characters borrowed from Chinese and incorporated into the Korean language with Korean pronunciation.",Manhwa,-,-
Mabinogi Staccato,Based on the MMORPG of the same name.,Manga,1,-
Gachinko Battle!!,"""Gachibuto,"" a martial arts tournament hosted by the gods themselves, is in the midst of its 1919th iteration. The fiercest of fighters have gathered for this day, as the winner will be granted one wi...",Doujinshi,1,7.37
Gachinko Harem,1. Kenon Icchao! 2. Ame to Oppai 3. Jog-Jog 4. Nangoku Fruits wa Amakute Suppai 5. Mane☆Love 6. Maro Cream 7. Ero Shosetsu e Youkoso 8. Umibe no Mania (Beach Mania) 9-10. Sensei to Asobou♥,Manga,1,-
Gachinko Ouenka,,Doujinshi,1,-
Gachipin.,"High schooler and aspiring cameraman, Hazama Shunichi, discovers the ""model of his destiny"" by chance. Will he be able to find her again?",One-shot,-,7.13
Gachirin ni Kirisaku,"A new transfer student has come into town, a girl with a mysterious air and black clothing who is called Inugami Sakuya. What few know is that by moonlight, she hunts and kills those possessed by ""Inu...",Manga,7,6.75
Gad Sfortunato,"What is being sought after cannot be felt even on the fingertips. This is a series about the extravagant lifestyle of a tattoo artist named Gad, and the circle of people who revolve in it. (Source: St...",Manga,1,6.83
Gaden Insui,"1-2. Forever, Whenever 5. Crazy for You 6. All for You 7. Koinonia",Manga,1,-
Gadget,"Shuichi Toriga, a junior high school student with a knack for electronics repair and an interest in UFOs, has met the girl of his dreams. Manami has the voice of an angel--or, at least, the voice of a...",Manga,3,-
Gadget,,Light Novel,5,-
Gadirok,"The Hwan-Woong dynasty is in turmoil. General Hae-Mo-Soo has taken control of most of the land. Prince Chi-Woo, ruler of the Hwan-Woong dynasty, is so severely depressed by the hardships he's suffered...",Manhwa,8,-
